Replicate,Watering,Phase,Variety,Leaf Water Potential,total leaf area (cm2),Leaf Canopy temp,Fv/Fm,Photosynthesis,Stomatal Conductance,Transpiration Rate,Water Use Efficiency,Green Leaf Dry Weight,Senesced Leaf Dry Weight,Stem Dry Weight,Total Shoot Dry Weight,Leaf Area Ratio,Specific Leaf Area,Specific Leaf Weight,Basal Fine Root Mass,Total Fine Root Mass,Coarse Roots Mass,Total Root Mass,Root:Shoot Ratio,Total Fine Root length (cm),Total Fine Root Surface Area (m2),Total Fine Root Volume (m3),Specific fine root length (m/g),Root tissue density (g/m3),Fine root length:Leaf area Ratio (cm/m2),root mass fraction
3,Deficit,drought,Mara,-2.1,1024.58,46.83,0.793,3.356677522,0.02235414,0.567458138,5.915286607,7.8753,2.35,5.55,15.7753,45.92840301,0.013010044,76.86369049,0.9498,2.7436,3.7893,6.5329,0.414122077,35185.55184,489.9577214,0.111104871,122.1057024,25.93554148,34.34143926,0.292847473
3,Deficit,drought,2789,-1.9,653.8,47.77,0.7875,2.621904598,0.02473772,0.572749838,4.577748299,5.1104,2.2379,4.37,11.7183,38.28630992,0.012793519,78.16457632,0.9195,2.7901,2.5682,5.3583,0.457259159,58610.81197,804.1252665,0.181201883,201.8273784,16.02636215,89.64639335,0.313780261
3,Deficit,drought,4841,-2.7,767.49,49,0.769,4.420395292,0.032060517,0.720577707,6.13451575,7.2053,5.9715,6.76,19.9368,26.90360846,0.010651742,93.8813535,2.0814,4.8134,3.7772,8.5906,0.430891618,33748.58863,459.7801874,0.08908116,67.64205301,56.00837491,43.97267538,0.301135049
3,Deficit,drought,2778,-2.5,945.63,45.75,0.7645,5.017920248,0.06466714,1.341581278,3.740302828,8.7126,4.38,11.14,24.2326,25.563924,0.010853591,92.1354018,1.902,5.6532,7.105,12.7582,0.52648911,53128.02589,1166.890392,0.269062928,91.9020538,21.48545713,56.1826781,0.344901976
3,Control,drought,2789,-0.7,2543.48,27.88,0.8235,25.11042766,0.356780558,4.332662421,5.795611387,13.3717,0.5946,9.95,23.9163,82.33831651,0.019021366,52.57245978,0.6398,3.859,3.1153,6.9743,0.291612833,70409.78191,959.5544844,0.201864589,176.4293602,19.76978738,27.68245943,0.225774184
3,Control,drought,2778,-0.86,3591.93,28.2,0.81675,19.55595398,0.32450316,4.176137838,4.682784605,20.4843,1.5791,16.96,39.0234,66.18433951,0.017535039,57.02867261,2.2946,6.978,8.2702,15.2482,0.39074504,74560.31356,1001.148175,0.195209407,105.1048423,36.33994433,20.75773012,0.280960945
3,Control,drought,Mara,-0.78,2965.97,31.07,0.81775,17.38277726,0.251410851,3.539818189,4.910641262,17.2201,1.3902,9.4,28.0103,84.05372011,0.017223884,58.05891496,0.6685,3.2785,3.9978,7.2763,0.259772298,70046.06715,937.1128724,0.167272664,209.9691553,19.94358738,23.61657979,0.206205755
3,Control,drought,4841,-1.08,2532.82,32.1,0.8025,20.55927961,0.254750226,3.798572281,5.412370252,15.03661,2.9339,10.19,28.16051,67.89763215,0.016844355,59.36706912,1.8072,4.5327,4.6103,9.143,0.324674518,90505.30372,1217.762546,0.24121845,195.0964965,19.23153886,35.73301842,0.245097579
4,Control,drought,2789,-0.8,2578.82,29.7,0.80575,,,,,14.0795,0.56,10,24.6395,79.51614793,0.018316133,54.596676,0.8724,3.7517,4.0402,7.7919,0.316236125,86155.51902,1154.53003,0.264310851,225.1335925,14.47864127,33.40889206,0.240257898
4,Control,drought,Mara,-0.8,3115.56,27.88,0.8295,,,,,17.4821,0.6589,8.98,27.121,86.90543933,0.017821429,56.11222381,0.5427,3.3325,5.3965,8.729,0.321853914,41914.19181,563.6621868,0.094714411,123.230642,35.91090291,13.45318075,0.24348675
4,Control,drought,2778,-0.88,2827.96,27.73,0.816,,,,,17.6303,2.9721,14.82,35.4224,54.94449129,0.01604034,62.34281956,1.6345,7.2198,8.8272,16.047,0.453018429,90493.65359,1212.867959,0.197266757,123.5833738,37.11967542,31.9996229,0.311777483
4,Control,drought,4841,-1,2916.59,30,0.82525,,,,,16.9649,1.07,8.76,26.7949,81.77164085,0.017191908,58.16690039,1.3041,4.6833,4.1893,8.8726,0.331130178,69932.44861,945.1754557,0.313730589,145.8616488,15.28201957,23.97746979,0.248758674
4,Deficit,drought,4841,-2.6,979.8,47.7,0.805,9.213434019,0.066081943,1.519735559,6.062524471,8.3802,4.53,5.57,18.4802,37.96511921,0.011691845,85.52969994,0.5865,3.3322,3.9955,7.3277,0.396516271,40571.57009,553.3668848,0.107157005,117.8132081,32.13714313,41.40801193,0.283932439
4,Deficit,drought,2778,-2.1,1052.47,47.53,0.76925,4.880415947,0.038919478,0.833104683,5.858106489,9.2024,5.41,9.67,24.2824,27.93757731,0.011436908,87.43622146,2.2877,5.4682,7.9216,13.3898,0.551419958,81232.54034,1088.311104,0.184994549,146.2020606,30.03430654,77.18276088,0.355429202
4,Deficit,drought,Mara,-2.02,1098.59,48.6,0.79525,7.46798872,0.050772788,1.249526815,5.976653428,7.829,2.56,5.76,16.149,50.09895843,0.014032316,71.26407486,0.9669,2.5723,3.2071,5.7794,0.357879745,23351.59929,565.6350241,0.145857845,87.13758023,18.3730536,21.25597292,0.263557761
4,Deficit,drought,2789,-1.92,775.5,48.93,0.80075,13.28125074,0.09608186,2.177946418,6.098061287,4.7676,2.39,5.14,12.2976,45.95283242,0.016266046,61.47775629,0.4608,2.3338,2.2446,4.5784,0.372300286,26313.64741,360.8831113,0.060820445,108.3731796,39.92175659,33.93120234,0.271296516
5,Deficit,drought,Mara,-2.2,591.4,45.73,0.82175,5.408438284,0.02791602,0.527349934,10.25588122,5.5276,5.78,7.21,18.5176,22.58700235,0.010699038,93.46635103,0.4709,3.2838,4.3818,7.6656,0.413962933,47818.96803,651.6796429,0.101974029,141.393994,33.16497373,80.85723373,0.292767882
5,Deficit,drought,4841,-2.72,329.98,47.47,0.81025,9.221732573,0.078723996,1.265909693,7.284668586,2.9466,4.46,7.22,14.6266,15.21556693,0.01119867,89.29632099,1.0897,3.6826,3.3778,7.0604,0.482709584,47758.47198,649.2366438,0.0902588,125.5380671,42.148821,144.731414,0.325559091
5,Deficit,drought,2789,-2.04,622.97,48.78,0.8235,7.67456881,0.044555403,0.975543417,7.866967961,4.4524,3.24,6.26,13.9524,30.79847533,0.01399178,71.4705363,1.3658,3.4454,2.8295,6.2749,0.449736246,59289.19934,792.5964195,0.084569905,169.5033857,41.36007936,95.17183708,0.310219357
5,Deficit,drought,2778,-2.5,547.17,49.33,0.80375,4.905065528,0.036856774,0.795434493,6.166523539,5.9921,7.56,10.6,24.1521,14.55963471,0.009131523,109.5107553,2.042,6.5343,6.8949,13.4292,0.556026184,85500.25712,1143.671484,0.169434373,128.6974743,39.20991288,156.2590367,0.357337293
5,Control,drought,2789,-0.64,2675.26,33.4,0.82875,15.67124334,0.215643772,4.370191633,3.585939623,15.6122,1.67,12.55,29.8322,66.62150956,0.017135702,58.35769234,1.2045,5.7713,4.5526,10.3239,0.346065661,48206.11875,641.4027131,0.078197366,82.6140971,74.62010899,18.01922757,0.25709419
5,Control,drought,2778,-1,3223.19,34.32,0.82975,25.23771172,0.416532691,7.444838424,3.389960974,18.1631,2.81,15.94,36.9131,65.26010379,0.017745814,56.35131655,2.1199,6.2607,6.2161,12.4768,0.338004665,87080.36589,1165.230764,0.218805702,136.8261985,29.08655921,27.01682678,0.25261845
5,Control,drought,4841,-1.1,2974.34,35.3,0.83375,26.96904949,0.429368406,6.257843174,4.309639717,18.871,2.35,15.23,36.451,61.81320166,0.015761433,63.44600819,1.0565,5.6258,6.0414,11.6672,0.32007901,95602.46597,1282.924092,0.339456961,166.7327639,16.89131367,32.14241343,0.242469585
5,Control,drought,Mara,-0.86,3026.09,34.9,0.839,9.922080391,0.428383544,6.648016697,1.492487285,17.7087,2.22,11.16,31.0887,74.19487713,0.017088154,58.52007045,0.847,4.6112,5.0858,9.697,0.311913975,56913.47893,775.683309,0.134926866,119.8060968,35.20771016,18.80759625,0.237754899
